# Every user-facing string, captured BEFORE Phase 2C converted any of them (#658).
# Real newlines and tabs are stored as U+0001 and U+0002, because the format is line-based and 12
# strings are multi-line — and because strings.xml also holds literal backslash-n as Android escape
# text, which a backslash scheme cannot distinguish from an escaped newline.
# Everything else, including XML entities and trailing whitespace, is exactly as authored.
# Two kinds of entry live here. The original 968 are historical evidence: what the app said before
# any conversion. Entries added later are forward pins — what an aviation user should see from now
# on. The test treats them identically; only the provenance differs, and only the first kind can
# testify that a conversion changed nothing.
# Regenerating this file to make the test pass defeats its entire purpose.
module	resource	value
feature/sharing/sharedassets	leave_confirm_title	Leave this aircraft?
feature/sharing/sharedassets	manage_access_badge_you	You
feature/sharing/sharedassets	manage_access_code_subtitle	%1$s · single use
feature/sharing/sharedassets	manage_access_code_title	Invite code
feature/sharing/sharedassets	manage_access_create_invite	Create invite code
feature/sharing/sharedassets	manage_access_done	Done
feature/sharing/sharedassets	manage_access_empty_desc	Invite a co-owner or technician to share this aircraft.
feature/sharing/sharedassets	manage_access_empty_title	No shared access
feature/sharing/sharedassets	manage_access_expires_in	Expires in %1$s
feature/sharing/sharedassets	manage_access_expiry_note	One person, one use. The code stops working once it’s redeemed, or after 24 hours.
feature/sharing/sharedassets	manage_access_help_footer	Only the owner can delete the aircraft or hand over ownership. Anyone can leave on their own.
feature/sharing/sharedassets	manage_access_help_title	What each role can do
feature/sharing/sharedassets	manage_access_invite_meta	%1$s · expires in %2$s
feature/sharing/sharedassets	manage_access_invites_hint	Anyone holding a code can join. Codes are not tied to a person.
feature/sharing/sharedassets	manage_access_invites_section	Open invite codes
feature/sharing/sharedassets	manage_access_leave	Leave shared aircraft
feature/sharing/sharedassets	manage_access_member_count_plural	%1$d people
feature/sharing/sharedassets	manage_access_member_count_singular	1 person
feature/sharing/sharedassets	manage_access_people_section	People with access
feature/sharing/sharedassets	manage_access_perm_manage_access	Manage access
feature/sharing/sharedassets	manage_access_perm_squawks_tasks	Squawks and tasks
feature/sharing/sharedassets	manage_access_perm_thing_details	Aircraft details
feature/sharing/sharedassets	manage_access_revoke	Remove access
feature/sharing/sharedassets	manage_access_role_co_owner	Co-owner
feature/sharing/sharedassets	manage_access_role_co_owner_desc	Everything a technician can do, plus edit aircraft details and manage who has access.
feature/sharing/sharedassets	manage_access_role_owner	Owner
feature/sharing/sharedassets	manage_access_role_technician_desc	Add and edit squawks, maintenance tasks, and work logs. Cannot change aircraft details.
feature/sharing/sharedassets	manage_access_solo_body	Invite a mechanic or a co-owner and they can log squawks, tasks, and work against this aircraft.
feature/sharing/sharedassets	manage_access_solo_title	No one else has access
feature/sharing/sharedassets	manage_access_title	Manage Access
feature/sharing/sharedassets	manage_access_toast_access_removed	Access removed
feature/sharing/sharedassets	manage_access_toast_code_cancelled	Invite code cancelled
feature/sharing/sharedassets	manage_access_toast_link_copied	Invite link copied
feature/sharing/sharedassets	manage_access_toast_role_updated	Role updated
feature/sharing/sharedassets	manage_access_unnamed_member	Unnamed member
feature/sharing/sharedassets	redeem_already_member_body	You already have access to this aircraft.
feature/sharing/sharedassets	redeem_already_member_title	Already a member
feature/sharing/sharedassets	redeem_confirm_body	You have been invited to share an aircraft. Accept to add it to your fleet.
feature/sharing/sharedassets	redeem_confirm_body_full	%1$s is inviting you to %2$s as %3$s.\n\nAccept to add it to your fleet.
feature/sharing/sharedassets	redeem_confirm_body_role	You have been invited to share an aircraft as %1$s. Accept to add it to your fleet.
feature/sharing/sharedassets	redeem_confirm_title	Aircraft invitation
feature/sharing/sharedassets	redeem_failed_body	This invite is no longer valid. Ask the owner for a new one.
feature/sharing/sharedassets	redeem_failed_title	Invite unavailable
feature/sharing/sharedassets	redeem_needs_signin_body	Sign in with your account to accept this invitation.
feature/sharing/sharedassets	redeem_needs_signin_title	Sign in required
feature/sharing/sharedassets	redeem_role_owner	a co-owner
feature/sharing/sharedassets	redeem_success_body	You now have access as %1$s. The aircraft will appear in your fleet shortly.
feature/sharing/sharedassets	redeem_success_title	You're in
feature/sharing/sharedassets	revoke_confirm_action	Remove access
feature/sharing/sharedassets	revoke_confirm_body	They lose access to this aircraft immediately, and their copy of its records is removed from their devices.If they made changes while offline that have not synced yet, those changes are lost.
feature/sharing/sharedassets	revoke_confirm_title	Remove %1$s?
feature/sharing/sharedassets	role_confirm_action	Change role
feature/sharing/sharedassets	role_confirm_body	This changes what they can do on this aircraft right away.
feature/sharing/sharedassets	role_confirm_title	Change %1$s’s role to %2$s?
feature/sharing/sharedassets	sharing_sync_off_body	Sharing needs Cloud Sync. Turn it on in Settings to invite people or manage access. Aircraft already shared with you stay readable, but will not update.
feature/sharing/sharedassets	sharing_sync_off_title	Cloud Sync is off
feature/squawk/sharedassets	add_squawk	New squawk
feature/squawk/sharedassets	closed_with_count	CLOSED (%1$d)
feature/squawk/sharedassets	dismiss_reason_duplicate	Duplicate
feature/squawk/sharedassets	dismiss_reason_intended_behavior	Intended behavior
feature/squawk/sharedassets	dismiss_reason_not_reproducible	Not reproducible
feature/squawk/sharedassets	dismiss_reason_obsolete	Obsolete
feature/squawk/sharedassets	dismissed_label	Dismissed — %1$s
feature/squawk/sharedassets	down_alert_subtitle	AOG squawks must be resolved before flight
feature/squawk/sharedassets	edit_squawk	Update squawk
feature/squawk/sharedassets	no_closed_squawks	No closed squawks yet.
feature/squawk/sharedassets	no_open_squawks	No open squawks
feature/squawk/sharedassets	no_open_squawks_description	Tap + to report a defect or anomaly
feature/squawk/sharedassets	no_squawk_work_recorded	No squawks addressed by this log
feature/squawk/sharedassets	no_work_recorded	No work recorded yet.
feature/squawk/sharedassets	open_with_count	OPEN (%1$d)
feature/squawk/sharedassets	priority_high	High
feature/squawk/sharedassets	priority_low	Low
feature/squawk/sharedassets	priority_medium	Medium
feature/squawk/sharedassets	reported	Reported
feature/squawk/sharedassets	squawk_added	Squawk reported
feature/squawk/sharedassets	squawk_description_label	Description
feature/squawk/sharedassets	squawk_dismissed	Squawk dismissed
feature/squawk/sharedassets	squawk_not_yet_addressed	Not yet addressed by any log
feature/squawk/sharedassets	squawk_priority_label	Priority
feature/squawk/sharedassets	squawk_reopened	Squawk reopened
feature/squawk/sharedassets	squawk_reported_on	Reported on
feature/squawk/sharedassets	squawk_status_addressed	Addressed
feature/squawk/sharedassets	squawk_status_dismissed	Dismissed
feature/squawk/sharedassets	squawk_title_label	Issue Summary
feature/squawk/sharedassets	squawk_title_required	Issue summary is required
feature/squawk/sharedassets	squawk_updated	Squawk updated
feature/squawk/sharedassets	view_squawks	View Squawks
feature/squawk/sharedassets	work_history	Work History
feature/squawk/update	dismiss_issue	Dismiss Issue
feature/squawk/update	dismiss_no_work_planned	Dismiss, no work planned
feature/squawk/update	dismiss_squawk_title	Dismiss Without Addressing?
feature/squawk/update	dismiss_squawk_warning	This squawk will be closed without recording corrective action. Please select a reason for dismissing this squawk.
feature/squawk/update	fixed_option_label	Fixed
feature/squawk/update	reopen_issue	Reopen Issue
feature/squawk/update	resolve_issue	Resolve
feature/stresstest	stress_test_complete	Generation complete
feature/stresstest	stress_test_config_blades_per_engine	Blades per engine
feature/stresstest	stress_test_config_engines	Engines
feature/stresstest	stress_test_config_log_entries	Log entries
feature/stresstest	stress_test_config_records	Maintenance records
feature/stresstest	stress_test_config_squawks	Squawk count
feature/stresstest	stress_test_config_tasks	Task count
feature/stresstest	stress_test_config_technicians	Technician count
feature/stresstest	stress_test_config_thing	Thing
feature/stresstest	stress_test_decrement	−
feature/stresstest	stress_test_description	Generates realistic aviation records for UI stress testing. Data is written to your account.
feature/stresstest	stress_test_error_message	Error: %1$s
feature/stresstest	stress_test_generate	Generate Fake Data
feature/stresstest	stress_test_increment	+
feature/stresstest	stress_test_progress_count	%1$d / %2$d
feature/stresstest	stress_test_progress_creating_log	Creating log entry…
feature/stresstest	stress_test_progress_creating_squawk	Creating squawk: %1$s…
feature/stresstest	stress_test_progress_creating_task	Creating task: %1$s…
feature/stresstest	stress_test_progress_creating_technician	Creating technician %1$s…
feature/stresstest	stress_test_progress_creating_thing	Creating thing %1$s…
feature/stresstest	stress_test_progress_dismissing_squawk	Dismissing squawk…
feature/stresstest	stress_test_progress_marking_squawk_addressed	Marking squawk addressed…
feature/stresstest	stress_test_regenerate	Generate Another
feature/stresstest	stress_test_summary_addressed_squawks	  • %1$d addressed
feature/stresstest	stress_test_summary_dismissed_squawks	  • %1$d dismissed
feature/stresstest	stress_test_summary_engines	Engines: %1$d × %2$s
feature/stresstest	stress_test_summary_log_entries	%1$d log entries created (span: 4 years)
feature/stresstest	stress_test_summary_log_entry_one	%1$d log entry created (span: 4 years)
feature/stresstest	stress_test_summary_open_squawks	  • %1$d open
feature/stresstest	stress_test_summary_squawks	%1$d squawk(s) created:
feature/stresstest	stress_test_summary_tail	Tail: %1$s · S/N: %2$s
feature/stresstest	stress_test_summary_tasks	%1$d task(s) created
feature/stresstest	stress_test_summary_technicians	%1$d technician(s) created
feature/stresstest	stress_test_summary_thing	Thing: %1$s %2$s (%3$s)
feature/stresstest	stress_test_summary_unknown_engine	-
feature/stresstest	stress_test_title	Fake Data Generator
feature/stresstest	stress_test_unknown_error	Unknown error
feature/stresstest	stress_test_working	Working…
feature/stresstest/config	debug_tools_header	DEBUG TOOLS
feature/stresstest/config	fake_data_generator_description	Populate fake things, logs, squawks, and tasks for UI testing
feature/subscription/viewing	subscription_activating	Payment received. Activating SquawkIt Pro…
feature/subscription/viewing	subscription_billing_note	Monthly and annual billing, price and payment method are chosen in the store.
feature/subscription/viewing	subscription_cell_excluded	—
feature/subscription/viewing	subscription_cell_unlimited	∞
feature/subscription/viewing	subscription_col_free	Basic
feature/subscription/viewing	subscription_col_pro	Pro
feature/subscription/viewing	subscription_compare_header	Your all-access pass
feature/subscription/viewing	subscription_compare_subhead	The Basic bundle is free and provides the complete feature set as logbook, backed up and synced. The Pro bundle adds scale, attachments, collaboration and more.
feature/subscription/viewing	subscription_cta_caption	Price shown at checkout. Cancel anytime.
feature/subscription/viewing	subscription_cta_subscribe	Subscribe
feature/subscription/viewing	subscription_ends	Ends
feature/subscription/viewing	subscription_feature_ads	Ad-free experience
feature/subscription/viewing	subscription_feature_attachments	Photo &amp; file attachments
feature/subscription/viewing	subscription_feature_backup	Cloud backup &amp; sync
feature/subscription/viewing	subscription_feature_email	Email a copy of exports
feature/subscription/viewing	subscription_feature_export	Export to this device
feature/subscription/viewing	subscription_feature_records	Logs, tasks &amp; squawks
feature/subscription/viewing	subscription_feature_sharing	Share aircraft &amp; collaborate with others
feature/subscription/viewing	subscription_includes_header	What’s included
feature/subscription/viewing	subscription_manage	Manage subscription
feature/subscription/viewing	subscription_manage_caption	Plan changes and cancellation are handled by the store.
feature/subscription/viewing	subscription_manage_link_caption	Opens the store page where this subscription is billed.
feature/subscription/viewing	subscription_manage_store_caption	Opens your subscriptions in the store that billed this plan.
feature/subscription/viewing	subscription_managed_elsewhere_body	This subscription was purchased on a different platform. Open SquawkIt on the device and store account it was purchased with to change or cancel it.
feature/subscription/viewing	subscription_managed_elsewhere_body_web	Subscriptions can’t be changed here. Open SquawkIt on the device and store account it was purchased with to change or cancel it.
feature/subscription/viewing	subscription_managed_elsewhere_caption	Your Pro features stay active everywhere you sign in.
feature/subscription/viewing	subscription_managed_elsewhere_title	Managed on another platform
feature/subscription/viewing	subscription_member_since	Member since
feature/subscription/viewing	subscription_perk_attachments_body	Photos and files on any log
feature/subscription/viewing	subscription_perk_attachments_title	Attachments
feature/subscription/viewing	subscription_perk_sharing_body	Invite owners and technicians
feature/subscription/viewing	subscription_perk_sharing_title	Sharing
feature/subscription/viewing	subscription_perk_thing_body	Whole fleet in one logbook
feature/subscription/viewing	subscription_perk_thing_title	Unlimited aircraft
feature/subscription/viewing	subscription_platform_amazon	Amazon Appstore
feature/subscription/viewing	subscription_platform_app_store	App Store
feature/subscription/viewing	subscription_platform_mac_app_store	Mac App Store
feature/subscription/viewing	subscription_platform_play_store	Google Play
feature/subscription/viewing	subscription_platform_test_store	Test Store (developer build)
feature/subscription/viewing	subscription_platform_web	Web
feature/subscription/viewing	subscription_purchase_on_mobile	Subscribe in the SquawkIt app on iOS or Android. Your subscription works everywhere, including here.
feature/subscription/viewing	subscription_purchased_on	Purchased on
feature/subscription/viewing	subscription_renews	Renews
feature/subscription/viewing	subscription_sign_in_to_subscribe	Sign in to subscribe, so your subscription is tied to your account and works on every device.
feature/subscription/viewing	subscription_status_active	Active
feature/subscription/viewing	subscription_status_canceled	Canceled
feature/subscription/viewing	subscription_status_grace	Payment problem
feature/subscription/viewing	subscription_status_trialing	Free trial
feature/subscription/viewing	subscription_storage_used	Storage used
feature/subscription/viewing	subscription_thing_free	2
feature/subscription/viewing	subscription_thing_unlimited	Unlimited
feature/subscription/viewing	subscription_title	Subscription
feature/subscription/viewing	subscription_unlocked_header	Unlocked with Pro
feature/subscription/viewing	upsell_body_add_thing	Add unlimited aircraft with SquawkIt Pro.
feature/subscription/viewing	upsell_body_attachment	Attach photos and files to your maintenance records with SquawkIt Pro.
feature/subscription/viewing	upsell_body_email	Email a copy of your exports with SquawkIt Pro.
feature/subscription/viewing	upsell_body_share	Share aircraft and invite others with SquawkIt Pro.
feature/sync/settings	setting_item_sync	Cloud Sync
feature/sync/settings	setting_item_sync_on_cellular	Upload on Cellular
feature/sync/settings	sync_hero_body_active	Changes you make here sync to the cloud and any other device signed in to the same account.
feature/sync/settings	sync_hero_body_paused	Your work stays on this device. Reinstalling the app or moving to a new phone will not bring this data with you.
feature/sync/settings	sync_hero_body_signin	You're using the app anonymously. All data stays on this device. Sign in with a permanent account on the previous screen to back things up.
feature/sync/settings	sync_hero_title_active	Backed up across your devices
feature/sync/settings	sync_hero_title_paused	Sync is paused
feature/sync/settings	sync_hero_title_signin	Sign in to enable sync
feature/sync/settings	sync_status_anonymous_body	Sync requires signing in.
feature/sync/settings	sync_status_anonymous_title	Anonymous account
feature/sync/settings	sync_status_auth_expired_body	Authentication expired. Sign in again to resume sync.
feature/sync/settings	sync_status_error_title	Sync error
feature/sync/settings	sync_status_hydration_error_body	Could not restore %1$s after %2$d retries.
feature/sync/settings	sync_status_off_body	Local edits will not reach the cloud. Re-enable above to resume backups.\n\nShared aircraft stop updating. You keep a readable copy, but changes will not flow in either direction, and you cannot invite anyone or manage access.
feature/sync/settings	sync_status_off_title	Cloud sync is off
feature/sync/settings	sync_status_push_error_body	Could not upload the latest local changes. Sync will retry when possible.
feature/sync/settings	sync_status_restoring	Restoring %1$d of %2$d collections
feature/sync/settings	sync_subtitle_active	Backed up to your account across devices.
feature/sync/settings	sync_subtitle_cellular_disabled	Attachments upload over Wi-Fi only.
feature/sync/settings	sync_subtitle_cellular_enabled	Attachments upload over Wi-Fi and cellular.
feature/sync/settings	sync_subtitle_off	Your data stays on this device only.
feature/sync/settings	sync_subtitle_signin	Sign in to enable cloud sync.
feature/sync/sharedassets	feature_name_backup_and_sync	Backup &amp; Sync
feature/tasks/sharedassets	add_task	Add task
feature/tasks/sharedassets	affects_n_tasks	Affects %1$d maintenance task(s)
feature/tasks/sharedassets	compliance_authority	Compliance authority
feature/tasks/sharedassets	compliance_type_ad_short	AD
feature/tasks/sharedassets	compliance_type_sb_short	SB
feature/tasks/sharedassets	delete_task	Delete Task
feature/tasks/sharedassets	delete_task_confirmation	Delete "%1$s"? This cannot be undone. Maintenance logs that reference this task will not be deleted.
feature/tasks/sharedassets	due_with_count	DUE (%1$d)
feature/tasks/sharedassets	edit_task	Update task
feature/tasks/sharedassets	history_with_count	HISTORY (%1$d)
feature/tasks/sharedassets	maintenance_due_title	Maintenance Due
feature/tasks/sharedassets	no_complied_yet	Log work against a task to see its history here.
feature/tasks/sharedassets	no_task_work_recorded	No task addressed by this log.
feature/tasks/sharedassets	no_tasks_yet	No maintenance tasks
feature/tasks/sharedassets	no_tasks_yet_description	Tap + to add inspections, part replacements, and other checks.
feature/tasks/sharedassets	overdue	Overdue
feature/tasks/sharedassets	skip_task_confirm_action	Skip
feature/tasks/sharedassets	skip_task_confirm_body	Marks complete without logging and snoozes one cycle to the next due target. This can’t be undone.
feature/tasks/sharedassets	skip_task_confirm_title	Skip This Cycle?
feature/tasks/sharedassets	unknown_date	Unknown date
feature/tasks/sharedassets	unknown_task	Unknown task (%1$s)
feature/tasks/update	adj_preview_hint	What will happen
feature/tasks/update	adj_preview_label_neutral	Current
feature/tasks/update	adj_preview_neutral_primary	No adjustments
feature/tasks/update	adj_preview_neutral_secondary_linked	Linked to another task — schedule is automatic
feature/tasks/update	adj_preview_neutral_secondary_unset	No schedule set yet
feature/tasks/update	adj_preview_primary_date	Next due %1$s · %2$s
feature/tasks/update	adj_preview_primary_hours	Next due at %1$s tach hrs · %2$s
feature/tasks/update	adj_preview_rel_due_today	due today
feature/tasks/update	adj_preview_rel_hours_at	at current hours
feature/tasks/update	adj_preview_rel_in_day	in 1 day
feature/tasks/update	adj_preview_rel_in_days	in %1$d days
feature/tasks/update	adj_preview_rel_in_hours	in %1$s tach hrs
feature/tasks/update	adj_preview_rel_over_hours	over by %1$s tach hrs
feature/tasks/update	adj_preview_rel_overdue_day	overdue by 1 day
feature/tasks/update	adj_preview_rel_overdue_days	overdue by %1$d days
feature/tasks/update	adj_preview_reschedule_date_primary	Next due %1$s
feature/tasks/update	adj_preview_reschedule_hours_primary	Next due at %1$s tach hrs
feature/tasks/update	adj_preview_reschedule_was_date	Was set by schedule
feature/tasks/update	adj_preview_was_date	Was %1$s
feature/tasks/update	adj_preview_was_hours	Was %1$s tach hrs
feature/tasks/update	adj_reschedule_disabled_linked	Disabled — this task is linked to another
feature/tasks/update	adj_reschedule_disabled_unset	Set a schedule first to enable rescheduling
feature/tasks/update	adj_reschedule_section_label	Reschedule next due
feature/tasks/update	adj_reschedule_subtitle	Manually set the next-due target. The schedule resumes from there.
feature/tasks/update	adj_reschedule_title	Set when this is next due
feature/tasks/update	adj_reschedule_was_date	Original date set by schedule
feature/tasks/update	adj_reschedule_was_hours	Original hours set by schedule
feature/tasks/update	adjustments	Adjustments
feature/tasks/update	basics	Basics
feature/tasks/update	compliance	Compliance
feature/tasks/update	compliance_ad_sub	Regulatory requirement
feature/tasks/update	compliance_authority_hint	e.g. Rotax / Lycoming
feature/tasks/update	compliance_notes	Compliance Notes
feature/tasks/update	compliance_notes_hint	e.g. One-time inspection of fuel lines...
feature/tasks/update	compliance_routine_sub	Scheduled maintenance intervals
feature/tasks/update	compliance_sb_sub	Manufacturer recommended
feature/tasks/update	compliance_type	Compliance Type
feature/tasks/update	compliance_type_description	Regulatory nature of this task. Mandatory items will trigger critical system alerts.
feature/tasks/update	compliance_type_routine	Routine Tasks
feature/tasks/update	compliance_type_routine_short	Routine
feature/tasks/update	component_type_description	Select the primary system or component this task pertains to for accurate log grouping.
feature/tasks/update	create_work_log	Create Work Log
feature/tasks/update	create_work_log_subtitle	Opens a new log, pre-linked to this task
feature/tasks/update	delete_task_section_label	Delete Task
feature/tasks/update	delete_this_task_subtitle	Permanently removes this task and its maintenance schedule.
feature/tasks/update	delete_this_task_title	Delete this task
feature/tasks/update	interval_hours	Interval (hours)
feature/tasks/update	interval_months	Interval (months)
feature/tasks/update	intervals	Intervals
feature/tasks/update	link_to_task	Link to maintenance task
feature/tasks/update	no_log_history	No maintenance logs recorded for this task.
feature/tasks/update	no_tasks_configured	No tasks configured. Add them from the aircraft overview to track recurring maintenance.
feature/tasks/update	reference_and_component	%1$s • %2$s
feature/tasks/update	reference_number	Reference Number
feature/tasks/update	reference_number_hint	e.g. SB-001
feature/tasks/update	resolve_task	Resolve
feature/tasks/update	schedule	Schedule
feature/tasks/update	schedule_pick_linked_task	Pick a task to link
feature/tasks/update	schedule_prefix_every	Every
feature/tasks/update	schedule_prefix_in	In
feature/tasks/update	schedule_preview_asap_primary	Due now — ASAP
feature/tasks/update	schedule_preview_asap_secondary	Will appear immediately on the dashboard
feature/tasks/update	schedule_preview_due_every	Due every %1$d %2$s
feature/tasks/update	schedule_preview_due_every_hours	Due every %1$s tach hrs
feature/tasks/update	schedule_preview_due_in	Due in %1$d %2$s
feature/tasks/update	schedule_preview_due_in_hours	Due in %1$s tach hrs
feature/tasks/update	schedule_preview_empty_primary	No schedule yet
feature/tasks/update	schedule_preview_empty_secondary	Pick how this task is tracked below
feature/tasks/update	schedule_preview_hint	How this task will appear
feature/tasks/update	schedule_preview_label	Preview
feature/tasks/update	schedule_preview_linked_one_time_secondary	Will move to history after first log
feature/tasks/update	schedule_preview_linked_primary	Due whenever "%1$s" is due
feature/tasks/update	schedule_preview_linked_repeating_secondary	Repeats with the linked task
feature/tasks/update	schedule_preview_linked_unset_primary	Linked task not chosen
feature/tasks/update	schedule_preview_linked_unset_secondary	Pick a task to link to below
feature/tasks/update	schedule_preview_one_time_secondary	One-time · moves to history after first log
feature/tasks/update	schedule_preview_recurring_secondary	Recurring schedule
feature/tasks/update	schedule_preview_set_calendar_primary	Set how often (%1$s)
feature/tasks/update	schedule_preview_set_hours_primary	Set how many tach hours
feature/tasks/update	schedule_preview_set_secondary	Enter an interval below
feature/tasks/update	schedule_recurrence_asap	ASAP
feature/tasks/update	schedule_recurrence_asap_sub	Due now
feature/tasks/update	schedule_recurrence_linked_one_time_sub	Then moves to history
feature/tasks/update	schedule_recurrence_linked_repeating_sub	With linked task
feature/tasks/update	schedule_recurrence_one_time	One-time
feature/tasks/update	schedule_recurrence_one_time_sub	In one interval
feature/tasks/update	schedule_recurrence_repeating	Repeating
feature/tasks/update	schedule_recurrence_repeating_sub	Every interval
feature/tasks/update	schedule_step_interval_how_often	Step 3 · How often?
feature/tasks/update	schedule_step_interval_in_how_long	Step 3 · In how long?
feature/tasks/update	schedule_step_recurrence_label	Step 2 · When is it due?
feature/tasks/update	schedule_step_recurrence_linked_label	Step 2 · Recurrence
feature/tasks/update	schedule_step_track_label	Step 1 · How is this tracked?
feature/tasks/update	schedule_track_calendar_time	Calendar Time
feature/tasks/update	schedule_track_tach_hours	Tach Hours
feature/tasks/update	schedule_unit_days	days
feature/tasks/update	schedule_unit_months	months
feature/tasks/update	schedule_unit_tach_hours	tach hrs
feature/tasks/update	schedule_unit_years	years
feature/tasks/update	schedule_with_another_work	Advanced · Link to another task
feature/tasks/update	schedule_with_another_work_description	This task becomes due whenever the linked task is next due. Choosing a linked task replaces interval-based scheduling above.
feature/tasks/update	select_task_work	Select Maintenance Work
feature/tasks/update	skip_this_cycle_option	Skip This Cycle
feature/tasks/update	skip_this_cycle_option_subtitle	Marks complete without logging
feature/tasks/update	task_added	Task added
feature/tasks/update	task_deleted	Task deleted
feature/tasks/update	task_description_placeholder	e.g. 100-Hour Inspection
feature/tasks/update	task_identity_description	Define the core name and component category for this maintenance requirement.
feature/tasks/update	task_skipped	Cycle skipped — next due rescheduled
feature/tasks/update	task_title	Maintenance Task Title
feature/tasks/update	task_title_helper	Provide a concise, technical name for this maintenance action as it appears in the service manual.
feature/tasks/update	task_updated	Task updated
feature/tasks/viewing	authority_reference_number	%1$s · %2$s
feature/tasks/viewing	badge_due	DUE
feature/tasks/viewing	badge_overdue	OVERDUE
feature/tasks/viewing	completed	Completed
feature/tasks/viewing	compliance_details	Compliance Details
feature/tasks/viewing	critical_airworthiness	URGENT ATTENTION REQUIRED
feature/tasks/viewing	days_overdue_count	%1$d Days Overdue
feature/tasks/viewing	days_remaining	%1$d Days Remaining
feature/tasks/viewing	due_date	Due %1$s
feature/tasks/viewing	due_today	Due Today
feature/tasks/viewing	engine_hours_upper	%1$s HRS
feature/tasks/viewing	label_deadline	DEADLINE
feature/tasks/viewing	label_due_engine	DUE @
feature/tasks/viewing	label_due_engine_value	DUE @ %1$s
feature/tasks/viewing	label_expired	EXPIRED %1$s
feature/tasks/viewing	maintenance_due_subtitle	Maintenance tasks pending
feature/tasks/viewing	next_due_date	NEXT DUE DATE
feature/tasks/viewing	next_due_engine_hrs	NEXT DUE ENGINE HRS
feature/tasks/viewing	no_maintenance_logs_for_task	No logs yet. Add a maintenance entry and tag this task to see history here.
feature/tasks/viewing	on_condition	On Condition
feature/technician/sharedassets	add_technician	Add Technician
feature/technician/sharedassets	certificate_number	Certificate Number
feature/technician/sharedassets	certificate_type	Certificate Type
feature/technician/sharedassets	certificate_type_amt	A&amp;P Mechanic
feature/technician/sharedassets	certificate_type_repairman	Repairman
feature/technician/sharedassets	delete_technician	Delete Technician
feature/technician/sharedassets	delete_technician_confirmation	Are you sure you want to delete this technician? This will prevent them from being added to future logs, but it will not remove them from past logs.
feature/technician/sharedassets	duplicates_apply	Merge selected
feature/technician/sharedassets	duplicates_merge_manual	Merge into %1$s
feature/technician/sharedassets	duplicates_merge_member	Use the shared profile for %1$s
feature/technician/sharedassets	duplicates_needs_confirmation	Names only — confirm this is the same person
feature/technician/sharedassets	duplicates_no_selection	Nothing selected
feature/technician/sharedassets	duplicates_prompt_action	Review
feature/technician/sharedassets	duplicates_prompt_dismiss	Not duplicates
feature/technician/sharedassets	duplicates_prompt_title	Some technicians look like the same person
feature/technician/sharedassets	duplicates_replaces	Deletes: %1$s
feature/technician/sharedassets	duplicates_review_body	Merging deletes the duplicate entries. It changes only who you can pick from here — logs you have already signed keep the technician they recorded.
feature/technician/sharedassets	duplicates_review_title	Review duplicates
feature/technician/sharedassets	duplicates_warn_mirror	%1$s and %2$s have the same certificate number. Two members are two different people, so this is likely a typo — check with them.
feature/technician/sharedassets	edit_technician	Update Technician
feature/technician/sharedassets	empty_technicians_desc	You haven't added any technicians yet. Add one to keep track of who performs your maintenance.
feature/technician/sharedassets	empty_technicians_title	No Technicians
feature/technician/sharedassets	expiration_date	Expiration Date
feature/technician/sharedassets	linked_badge	Linked
feature/technician/sharedassets	linked_technician_info_body	This profile comes from an aircraft you share. It’s kept up to date by the person it belongs to, so you can’t edit or delete it here — but you can select them when logging maintenance.
feature/technician/sharedassets	linked_technician_info_dismiss	Got it
feature/technician/sharedassets	linked_technician_info_title	Maintained by %1$s
feature/technician/sharedassets	linked_technicians_header	Linked from shared aircraft
feature/technician/sharedassets	manage_technicians	Who Does the Work
feature/technician/sharedassets	manage_technicians_description	Everyone who works on what you track. Add them here so you can pick them when recording work.
feature/technician/sharedassets	my_profile	My Profile
feature/technician/sharedassets	my_technicians_header	My technicians
feature/technician/sharedassets	name	Name
feature/technician/sharedassets	name_required	Name (Required)
feature/technician/sharedassets	never	Never
feature/technician/sharedassets	no_certificate	No certificate provided
feature/technician/sharedassets	performed_by	Performed By
feature/technician/sharedassets	select_technician	Select Technician
feature/technician/sharedassets	technician	Technician
feature/technician/sharedassets	you_badge	You
feature/thing/dashboard	overview_all_logs	All logs
feature/thing/dashboard	overview_next_due	Next due
feature/thing/dashboard	overview_no_logs_body	Add the first maintenance entry to start the aircraft record.
feature/thing/dashboard	overview_no_logs_title	No logs yet
feature/thing/dashboard	overview_no_squawks_body	No active discrepancies for this aircraft.
feature/thing/dashboard	overview_no_tasks_body	Scheduled maintenance is up to date.
feature/thing/dashboard	overview_no_tasks_title	No upcoming tasks
feature/thing/dashboard	overview_open_squawks	Open squawks
feature/thing/dashboard	overview_recent_activity	Recent activity
feature/thing/dashboard	thing_load_error	Couldn't load this aircraft
feature/thing/update	add_blade	Add blade
feature/thing/update	add_engine	Add Engine
feature/thing/update	blade_serial_numbers	Blade Serial numbers
feature/thing/update	delete_thing	Delete Aircraft?
feature/thing/update	delete_thing_member_plural	people will
feature/thing/update	delete_thing_member_singular	person will
feature/thing/update	delete_thing_shared_warning	%1$d other %2$s lose access to this aircraft and its records.
feature/thing/update	make	Make
feature/thing/update	model	Model
feature/thing/update	remove_blade	Remove Blade
feature/thing/update	remove_engine	Remove Engine
feature/thing/update	serial	Serial Number
feature/thing/update	tail_number	Tail Number
