bucket	module	resource	slots	reason	value
NEUTRAL	feature/notifications/settings	notification_settings_hero_body_on		no domain vocabulary	Hear about priority changes, due dates, and updates from your crew — the moment they happen.
NEUTRAL	feature/notifications/settings	notification_settings_hero_title_off		no domain vocabulary	Notifications are off
NEUTRAL	feature/notifications/settings	notification_settings_hero_title_on		no domain vocabulary	Stay in the loop
NEUTRAL	feature/notifications/settings	notification_settings_priority_due_title		no domain vocabulary	Priority &amp; due updates
NEUTRAL	feature/notifications/settings	notification_settings_save_error		no domain vocabulary	Couldn’t save that change. Try again.
NEUTRAL	feature/notifications/settings	notification_settings_signin_cta		no domain vocabulary	Sign in
NEUTRAL	feature/notifications/settings	notification_settings_signin_footer		no domain vocabulary	Sign in to get notified about changes other people make.
NEUTRAL	feature/notifications/settings	notification_settings_sync_off_cta		no domain vocabulary	Turn on sync
NEUTRAL	feature/notifications/settings	notification_settings_sync_off_footer		no domain vocabulary	Turn on Backup &amp; Sync to get notified about changes other people make.
NEUTRAL	feature/notifications/settings	notification_settings_title		no domain vocabulary	Notifications
NEUTRAL	feature/notifications/settings	notification_settings_types_label		no domain vocabulary	Notification types
NEUTRAL	feature/notifications/sharedassets	notification_body_due_soon_single		no domain vocabulary	%1$s: task is due soon\n\n%2$s
NEUTRAL	feature/notifications/sharedassets	notification_body_overdue_single		no domain vocabulary	%1$s: task is now overdue\n\n%2$s
NEUTRAL	feature/notifications/sharedassets	notification_body_priority_raised_single		no domain vocabulary	%1$s: priority raised from %2$s to %3$s\n\n%4$s
NEUTRAL	feature/notifications/sharedassets	notification_n1_actor_fallback		no domain vocabulary	A collaborator
NEUTRAL	feature/notifications/sharedassets	notification_n1_body_record_created		no domain vocabulary	%1$s: %2$s created a new %3$s\n\n%4$s
NEUTRAL	feature/notifications/sharedassets	notification_n1_body_record_deleted		no domain vocabulary	%1$s: %2$s deleted a %3$s\n\n%4$s
NEUTRAL	feature/notifications/sharedassets	notification_n1_body_record_updated		no domain vocabulary	%1$s: %2$s updated a %3$s\n\n%4$s
NEUTRAL	feature/notifications/sharedassets	notification_n1_body_single		no domain vocabulary	%1$s made a change to %2$s
NEUTRAL	feature/notifications/sharedassets	notification_n1_noun_task		no domain vocabulary	task
NEUTRAL	feature/notifications/sharedassets	notification_n1_section_tasks		no domain vocabulary	Tasks
NEUTRAL	feature/notifications/sharedassets	notification_n1_section_tasks_lower		no domain vocabulary	tasks
NEUTRAL	feature/notifications/sharedassets	notification_n1_title		no domain vocabulary	%1$s · %2$s
NEUTRAL	feature/notifications/sharedassets	notification_title_due_soon		no domain vocabulary	Due soon
NEUTRAL	feature/notifications/sharedassets	notification_title_overdue		no domain vocabulary	⚠ Overdue
NEUTRAL	feature/notifications/sharedassets	notification_title_priority_raised		no domain vocabulary	Priority raised
NEUTRAL	feature/notifications/viewing	notification_channel_collaboration_name		no domain vocabulary	Collaboration
NEUTRAL	feature/notifications/viewing	notification_channel_urgency_update_description		no domain vocabulary	A task’s urgency or due status has changed
NEUTRAL	feature/notifications/viewing	notification_channel_urgency_update_name		no domain vocabulary	Due reminder
NEUTRAL	feature/settings	account_upgrade_link_cta		no domain vocabulary	Link to an account
NEUTRAL	feature/settings	account_upgrade_link_subtitle		no domain vocabulary	Your records are on this device only. Link an account to sync and back them up.
NEUTRAL	feature/settings	app_version		no domain vocabulary	App Version: %1$s
NEUTRAL	feature/settings	appearance_dark		no domain vocabulary	Dark
NEUTRAL	feature/settings	appearance_light		no domain vocabulary	Light
NEUTRAL	feature/settings	appearance_subtitle		no domain vocabulary	Choose how SquawkIt looks on this device
NEUTRAL	feature/settings	appearance_system		no domain vocabulary	System
NEUTRAL	feature/settings	appearance_title		no domain vocabulary	Appearance
NEUTRAL	feature/settings	developer_options		brand or developer surface	Developer Options
NEUTRAL	feature/settings	developer_options_consent_test_device_placeholder		brand or developer surface	Paste hash from the console
NEUTRAL	feature/settings	developer_options_consent_test_device_subtitle		brand or developer surface	Required on a physical device (either platform) for the EEA debug-geography override to show the consent form at all — simulators/emulators don’t need this. Run once with this blank, then check the console for a message giving this device’s hash — Logcat tag "Ump" on Android, or search the Xcode console for "UMPDebugSettings.testDeviceIdentifiers" on iOS — and paste it here.
NEUTRAL	feature/settings	developer_options_consent_test_device_title		brand or developer surface	UMP test device hash
NEUTRAL	feature/settings	developer_options_force_ads_subtitle		brand or developer surface	Show display ads on any account, ignoring the tier. Everything else behaves normally, including the limit of 5 ads per session.
NEUTRAL	feature/settings	developer_options_force_ads_title		brand or developer surface	Force ads
NEUTRAL	feature/settings	developer_options_force_free		brand or developer surface	Basic
NEUTRAL	feature/settings	developer_options_force_off		brand or developer surface	Off
NEUTRAL	feature/settings	developer_options_force_pro		brand or developer surface	Pro
NEUTRAL	feature/settings	developer_options_force_subscription_subtitle		brand or developer surface	Make this account behave as the chosen tier, ignoring the real entitlement.
NEUTRAL	feature/settings	developer_options_force_subscription_title		brand or developer surface	Force subscription status
NEUTRAL	feature/settings	developer_options_reset_ad_consent_action		brand or developer surface	Reset
NEUTRAL	feature/settings	developer_options_reset_ad_consent_subtitle		brand or developer surface	Wipes this device's cached UMP consent state, so it resolves fresh next launch — as if this were a first install. The only way to re-test the onboarding consent explainer without clearing all local app data.
NEUTRAL	feature/settings	developer_options_reset_ad_consent_title		brand or developer surface	Reset ad consent
NEUTRAL	feature/settings	developer_options_subtitle		brand or developer surface	Advanced controls. Changes sync across your devices.
NEUTRAL	feature/settings	firebase_logging_subtitle		no domain vocabulary	Share anonymous diagnostics and usage data to help us improve SquawkIt
NEUTRAL	feature/settings	firebase_logging_title		no domain vocabulary	Help Us Improve
NEUTRAL	feature/settings	remove_local_data		no domain vocabulary	Remove this account from this device
NEUTRAL	feature/settings	settings_ad_privacy		no domain vocabulary	Ad privacy settings
NEUTRAL	feature/settings	settings_ad_privacy_subtitle		no domain vocabulary	Review or change your ad consent choice
NEUTRAL	feature/settings	settings_delete_account		no domain vocabulary	Delete Account
NEUTRAL	feature/settings	settings_delete_account_challenge_email		no domain vocabulary	To confirm, type your email address below:
NEUTRAL	feature/settings	settings_delete_account_challenge_hint		no domain vocabulary	Type to confirm
NEUTRAL	feature/settings	settings_delete_account_challenge_mismatch		no domain vocabulary	That does not match yet.
NEUTRAL	feature/settings	settings_delete_account_challenge_phrase		no domain vocabulary	To confirm, type this below:
NEUTRAL	feature/settings	settings_delete_account_challenge_word		no domain vocabulary	delete account
NEUTRAL	feature/settings	settings_delete_account_confirm		no domain vocabulary	Delete my account
NEUTRAL	feature/settings	settings_delete_account_failed		no domain vocabulary	Your account could not be deleted. Nothing has been removed — please try again.
NEUTRAL	feature/settings	settings_delete_account_subtitle		no domain vocabulary	Permanently delete your account and all its records
NEUTRAL	feature/settings	settings_delete_account_title		no domain vocabulary	Delete your account?
NEUTRAL	feature/settings	settings_developer_options_subtitle		no domain vocabulary	Advanced controls, synced across your devices
NEUTRAL	feature/settings	settings_logout_subtitle		no domain vocabulary	Sign out of your account on this device
NEUTRAL	feature/settings	settings_notifications		no domain vocabulary	Notifications
NEUTRAL	feature/settings	settings_notifications_subtitle_blocked		no domain vocabulary	Blocked in system settings
NEUTRAL	feature/settings	settings_notifications_subtitle_default		no domain vocabulary	Collaboration and urgency alerts
NEUTRAL	feature/settings	settings_notifications_subtitle_off		no domain vocabulary	Off — turn on to hear about changes
NEUTRAL	feature/settings	settings_subscription		no domain vocabulary	Subscription
NEUTRAL	feature/settings	settings_subscription_subtitle		no domain vocabulary	Your plan, benefits, and storage
NEUTRAL	feature/settings	settings_subtitle		no domain vocabulary	Account, appearance &amp; preferences
NEUTRAL	feature/settings	settings_sync_subtitle		no domain vocabulary	Keep your records synced across devices
NEUTRAL	feature/settings	sign_out		no domain vocabulary	Log out
NEUTRAL	feature/sharing/sharedassets	enter_code_field_label		no domain vocabulary	Invite code
NEUTRAL	feature/sharing/sharedassets	invite_cancel		no domain vocabulary	Cancel this code
NEUTRAL	feature/sharing/sharedassets	invite_copy		no domain vocabulary	Copy link
NEUTRAL	feature/sharing/sharedassets	invite_link_unavailable		no domain vocabulary	This code was created on another device. Codes are never stored, so it cannot be shown again — cancel it and create a new one.
NEUTRAL	feature/sharing/sharedassets	invite_qr_desc		no domain vocabulary	Invite QR code
NEUTRAL	feature/sharing/sharedassets	invite_role_label		no domain vocabulary	Role
NEUTRAL	feature/sharing/sharedassets	invite_role_owner		no domain vocabulary	Co-owner
NEUTRAL	feature/sharing/sharedassets	invite_scan_hint		no domain vocabulary	Or have them scan this.
NEUTRAL	feature/sharing/sharedassets	invite_share		no domain vocabulary	Share link
NEUTRAL	feature/sharing/sharedassets	leave_confirm_action		no domain vocabulary	Leave
NEUTRAL	feature/sharing/sharedassets	manage_access_badge_you		no domain vocabulary	You
NEUTRAL	feature/sharing/sharedassets	manage_access_code_subtitle		no domain vocabulary	%1$s · single use
NEUTRAL	feature/sharing/sharedassets	manage_access_code_title		no domain vocabulary	Invite code
NEUTRAL	feature/sharing/sharedassets	manage_access_create_invite		no domain vocabulary	Create invite code
NEUTRAL	feature/sharing/sharedassets	manage_access_done		no domain vocabulary	Done
NEUTRAL	feature/sharing/sharedassets	manage_access_empty_title		no domain vocabulary	No shared access
NEUTRAL	feature/sharing/sharedassets	manage_access_expires_in		no domain vocabulary	Expires in %1$s
NEUTRAL	feature/sharing/sharedassets	manage_access_expiry_note		no domain vocabulary	One person, one use. The code stops working once it’s redeemed, or after 24 hours.
NEUTRAL	feature/sharing/sharedassets	manage_access_help_title		no domain vocabulary	What each role can do
NEUTRAL	feature/sharing/sharedassets	manage_access_invite_meta		no domain vocabulary	%1$s · expires in %2$s
NEUTRAL	feature/sharing/sharedassets	manage_access_invites_hint		no domain vocabulary	Anyone holding a code can join. Codes are not tied to a person.
NEUTRAL	feature/sharing/sharedassets	manage_access_invites_section		no domain vocabulary	Open invite codes
NEUTRAL	feature/sharing/sharedassets	manage_access_member_count_plural		no domain vocabulary	%1$d people
NEUTRAL	feature/sharing/sharedassets	manage_access_member_count_singular		no domain vocabulary	1 person
NEUTRAL	feature/sharing/sharedassets	manage_access_people_section		no domain vocabulary	People with access
NEUTRAL	feature/sharing/sharedassets	manage_access_perm_manage_access		no domain vocabulary	Manage access
NEUTRAL	feature/sharing/sharedassets	manage_access_revoke		no domain vocabulary	Remove access
NEUTRAL	feature/sharing/sharedassets	manage_access_role_co_owner		no domain vocabulary	Co-owner
NEUTRAL	feature/sharing/sharedassets	manage_access_role_owner		no domain vocabulary	Owner
NEUTRAL	feature/sharing/sharedassets	manage_access_solo_title		no domain vocabulary	No one else has access
NEUTRAL	feature/sharing/sharedassets	manage_access_title		no domain vocabulary	Manage Access
NEUTRAL	feature/sharing/sharedassets	manage_access_toast_access_removed		no domain vocabulary	Access removed
NEUTRAL	feature/sharing/sharedassets	manage_access_toast_code_cancelled		no domain vocabulary	Invite code cancelled
NEUTRAL	feature/sharing/sharedassets	manage_access_toast_link_copied		no domain vocabulary	Invite link copied
NEUTRAL	feature/sharing/sharedassets	manage_access_toast_role_updated		no domain vocabulary	Role updated
NEUTRAL	feature/sharing/sharedassets	manage_access_unnamed_member		no domain vocabulary	Unnamed member
NEUTRAL	feature/sharing/sharedassets	redeem_already_member_title		no domain vocabulary	Already a member
NEUTRAL	feature/sharing/sharedassets	redeem_failed_body		no domain vocabulary	This invite is no longer valid. Ask the owner for a new one.
NEUTRAL	feature/sharing/sharedassets	redeem_failed_title		no domain vocabulary	Invite unavailable
NEUTRAL	feature/sharing/sharedassets	redeem_needs_signin_body		no domain vocabulary	Sign in with your account to accept this invitation.
NEUTRAL	feature/sharing/sharedassets	redeem_needs_signin_title		no domain vocabulary	Sign in required
NEUTRAL	feature/sharing/sharedassets	redeem_role_owner		no domain vocabulary	a co-owner
NEUTRAL	feature/sharing/sharedassets	redeem_success_title		no domain vocabulary	You're in
NEUTRAL	feature/sharing/sharedassets	revoke_confirm_action		no domain vocabulary	Remove access
NEUTRAL	feature/sharing/sharedassets	revoke_confirm_title		no domain vocabulary	Remove %1$s?
NEUTRAL	feature/sharing/sharedassets	role_confirm_action		no domain vocabulary	Change role
NEUTRAL	feature/sharing/sharedassets	role_confirm_title		no domain vocabulary	Change %1$s’s role to %2$s?
NEUTRAL	feature/sharing/sharedassets	sharing_sync_off_title		no domain vocabulary	Cloud Sync is off
NEUTRAL	feature/squawk/sharedassets	addressed_by		no domain vocabulary	Addressed by log
NEUTRAL	feature/squawk/sharedassets	closed_with_count		no domain vocabulary	CLOSED (%1$d)
NEUTRAL	feature/squawk/sharedassets	dismiss_reason_duplicate		no domain vocabulary	Duplicate
NEUTRAL	feature/squawk/sharedassets	dismiss_reason_intended_behavior		no domain vocabulary	Intended behavior
NEUTRAL	feature/squawk/sharedassets	dismiss_reason_not_reproducible		no domain vocabulary	Not reproducible
NEUTRAL	feature/squawk/sharedassets	dismiss_reason_obsolete		no domain vocabulary	Obsolete
NEUTRAL	feature/squawk/sharedassets	dismissed_label		no domain vocabulary	Dismissed — %1$s
NEUTRAL	feature/squawk/sharedassets	no_work_recorded		no domain vocabulary	No work recorded yet.
NEUTRAL	feature/squawk/sharedassets	open_with_count		no domain vocabulary	OPEN (%1$d)
NEUTRAL	feature/squawk/sharedassets	priority_high		no domain vocabulary	High
NEUTRAL	feature/squawk/sharedassets	priority_low		no domain vocabulary	Low
NEUTRAL	feature/squawk/sharedassets	priority_medium		no domain vocabulary	Medium
NEUTRAL	feature/squawk/sharedassets	reported		no domain vocabulary	Reported
NEUTRAL	feature/squawk/sharedassets	work_history		no domain vocabulary	Work History
NEUTRAL	feature/squawk/update	dismiss_issue		no domain vocabulary	Dismiss Issue
NEUTRAL	feature/squawk/update	dismiss_no_work_planned		no domain vocabulary	Dismiss, no work planned
NEUTRAL	feature/squawk/update	fixed_option_label		no domain vocabulary	Fixed
NEUTRAL	feature/squawk/update	reopen_issue		no domain vocabulary	Reopen Issue
NEUTRAL	feature/squawk/update	resolve_issue		no domain vocabulary	Resolve
NEUTRAL	feature/stresstest	stress_test_complete		brand or developer surface	Generation complete
NEUTRAL	feature/stresstest	stress_test_config_thing		brand or developer surface	Aircraft
NEUTRAL	feature/stresstest	stress_test_config_blades_per_engine		brand or developer surface	Blades per engine
NEUTRAL	feature/stresstest	stress_test_config_engines		brand or developer surface	Engines
NEUTRAL	feature/stresstest	stress_test_config_log_entries		brand or developer surface	Log entries
NEUTRAL	feature/stresstest	stress_test_config_records		brand or developer surface	Maintenance records
NEUTRAL	feature/stresstest	stress_test_config_squawks		brand or developer surface	Squawk count
NEUTRAL	feature/stresstest	stress_test_config_tasks		brand or developer surface	Task count
NEUTRAL	feature/stresstest	stress_test_config_technicians		brand or developer surface	Technician count
NEUTRAL	feature/stresstest	stress_test_decrement		brand or developer surface	−
NEUTRAL	feature/stresstest	stress_test_description		brand or developer surface	Generates realistic aviation records for UI stress testing. Data is written to your account.
NEUTRAL	feature/stresstest	stress_test_error_message		brand or developer surface	Error: %1$s
NEUTRAL	feature/stresstest	stress_test_generate		brand or developer surface	Generate Fake Data
NEUTRAL	feature/stresstest	stress_test_increment		brand or developer surface	+
NEUTRAL	feature/stresstest	stress_test_progress_count		brand or developer surface	%1$d / %2$d
NEUTRAL	feature/stresstest	stress_test_progress_creating_thing		brand or developer surface	Creating aircraft %1$s…
NEUTRAL	feature/stresstest	stress_test_progress_creating_log		brand or developer surface	Creating log entry…
NEUTRAL	feature/stresstest	stress_test_progress_creating_squawk		brand or developer surface	Creating squawk: %1$s…
NEUTRAL	feature/stresstest	stress_test_progress_creating_task		brand or developer surface	Creating task: %1$s…
NEUTRAL	feature/stresstest	stress_test_progress_creating_technician		brand or developer surface	Creating technician %1$s…
NEUTRAL	feature/stresstest	stress_test_progress_dismissing_squawk		brand or developer surface	Dismissing squawk…
NEUTRAL	feature/stresstest	stress_test_progress_marking_squawk_addressed		brand or developer surface	Marking squawk addressed…
NEUTRAL	feature/stresstest	stress_test_regenerate		brand or developer surface	Generate Another
NEUTRAL	feature/stresstest	stress_test_summary_addressed_squawks		brand or developer surface	• %1$d addressed
NEUTRAL	feature/stresstest	stress_test_summary_thing		brand or developer surface	Aircraft: %1$s %2$s (%3$s)
NEUTRAL	feature/stresstest	stress_test_summary_dismissed_squawks		brand or developer surface	• %1$d dismissed
NEUTRAL	feature/stresstest	stress_test_summary_engines		brand or developer surface	Engines: %1$d × %2$s
NEUTRAL	feature/stresstest	stress_test_summary_log_entries		brand or developer surface	%1$d log entries created (span: 4 years)
NEUTRAL	feature/stresstest	stress_test_summary_log_entry_one		brand or developer surface	%1$d log entry created (span: 4 years)
NEUTRAL	feature/stresstest	stress_test_summary_open_squawks		brand or developer surface	• %1$d open
NEUTRAL	feature/stresstest	stress_test_summary_squawks		brand or developer surface	%1$d squawk(s) created:
NEUTRAL	feature/stresstest	stress_test_summary_tail		brand or developer surface	Tail: %1$s · S/N: %2$s
NEUTRAL	feature/stresstest	stress_test_summary_tasks		brand or developer surface	%1$d task(s) created
NEUTRAL	feature/stresstest	stress_test_summary_technicians		brand or developer surface	%1$d technician(s) created
NEUTRAL	feature/stresstest	stress_test_summary_unknown_engine		brand or developer surface	-
NEUTRAL	feature/stresstest	stress_test_title		brand or developer surface	Fake Data Generator
NEUTRAL	feature/stresstest	stress_test_unknown_error		brand or developer surface	Unknown error
NEUTRAL	feature/stresstest	stress_test_working		brand or developer surface	Working…
NEUTRAL	feature/stresstest/config	debug_tools_header		no domain vocabulary	DEBUG TOOLS
NEUTRAL	feature/subscription/viewing	subscription_activating		no domain vocabulary	Payment received. Activating SquawkIt Pro…
NEUTRAL	feature/subscription/viewing	subscription_cell_excluded		no domain vocabulary	—
NEUTRAL	feature/subscription/viewing	subscription_cell_unlimited		no domain vocabulary	∞
NEUTRAL	feature/subscription/viewing	subscription_col_free		no domain vocabulary	Basic
NEUTRAL	feature/subscription/viewing	subscription_col_pro		no domain vocabulary	Pro
NEUTRAL	feature/subscription/viewing	subscription_compare_header		no domain vocabulary	Your all-access pass
NEUTRAL	feature/subscription/viewing	subscription_cta_caption		no domain vocabulary	Price shown at checkout. Cancel anytime.
NEUTRAL	feature/subscription/viewing	subscription_cta_subscribe		no domain vocabulary	Subscribe
NEUTRAL	feature/subscription/viewing	subscription_ends		no domain vocabulary	Ends
NEUTRAL	feature/subscription/viewing	subscription_feature_ads		no domain vocabulary	Ad-free experience
NEUTRAL	feature/subscription/viewing	subscription_feature_attachments		no domain vocabulary	Photo &amp; file attachments
NEUTRAL	feature/subscription/viewing	subscription_feature_backup		no domain vocabulary	Cloud backup &amp; sync
NEUTRAL	feature/subscription/viewing	subscription_feature_email		no domain vocabulary	Email a copy of exports
NEUTRAL	feature/subscription/viewing	subscription_feature_export		no domain vocabulary	Export to this device
NEUTRAL	feature/subscription/viewing	subscription_includes_header		no domain vocabulary	What’s included
NEUTRAL	feature/subscription/viewing	subscription_manage		no domain vocabulary	Manage subscription
NEUTRAL	feature/subscription/viewing	subscription_manage_caption		no domain vocabulary	Plan changes and cancellation are handled by the store.
NEUTRAL	feature/subscription/viewing	subscription_manage_link_caption		no domain vocabulary	Opens the store page where this subscription is billed.
NEUTRAL	feature/subscription/viewing	subscription_manage_store_caption		no domain vocabulary	Opens your subscriptions in the store that billed this plan.
NEUTRAL	feature/subscription/viewing	subscription_managed_elsewhere_body		no domain vocabulary	This subscription was purchased on a different platform. Open SquawkIt on the device and store account it was purchased with to change or cancel it.
NEUTRAL	feature/subscription/viewing	subscription_managed_elsewhere_body_web		no domain vocabulary	Subscriptions can’t be changed here. Open SquawkIt on the device and store account it was purchased with to change or cancel it.
NEUTRAL	feature/subscription/viewing	subscription_managed_elsewhere_caption		no domain vocabulary	Your Pro features stay active everywhere you sign in.
NEUTRAL	feature/subscription/viewing	subscription_managed_elsewhere_title		no domain vocabulary	Managed on another platform
NEUTRAL	feature/subscription/viewing	subscription_member_since		no domain vocabulary	Member since
NEUTRAL	feature/subscription/viewing	subscription_perk_attachments_body		no domain vocabulary	Photos and files on any log
NEUTRAL	feature/subscription/viewing	subscription_perk_attachments_title		no domain vocabulary	Attachments
NEUTRAL	feature/subscription/viewing	subscription_perk_sharing_title		no domain vocabulary	Sharing
NEUTRAL	feature/subscription/viewing	subscription_platform_amazon		no domain vocabulary	Amazon Appstore
NEUTRAL	feature/subscription/viewing	subscription_platform_app_store		no domain vocabulary	App Store
NEUTRAL	feature/subscription/viewing	subscription_platform_mac_app_store		no domain vocabulary	Mac App Store
NEUTRAL	feature/subscription/viewing	subscription_platform_play_store		no domain vocabulary	Google Play
NEUTRAL	feature/subscription/viewing	subscription_platform_test_store		no domain vocabulary	Test Store (developer build)
NEUTRAL	feature/subscription/viewing	subscription_platform_web		no domain vocabulary	Web
NEUTRAL	feature/subscription/viewing	subscription_purchase_on_mobile		no domain vocabulary	Subscribe in the SquawkIt app on iOS or Android. Your subscription works everywhere, including here.
NEUTRAL	feature/subscription/viewing	subscription_purchased_on		no domain vocabulary	Purchased on
NEUTRAL	feature/subscription/viewing	subscription_renews		no domain vocabulary	Renews
NEUTRAL	feature/subscription/viewing	subscription_sign_in_to_subscribe		no domain vocabulary	Sign in to subscribe, so your subscription is tied to your account and works on every device.
NEUTRAL	feature/subscription/viewing	subscription_status_active		no domain vocabulary	Active
NEUTRAL	feature/subscription/viewing	subscription_status_canceled		no domain vocabulary	Canceled
NEUTRAL	feature/subscription/viewing	subscription_status_grace		no domain vocabulary	Payment problem
NEUTRAL	feature/subscription/viewing	subscription_status_trialing		no domain vocabulary	Free trial
NEUTRAL	feature/subscription/viewing	subscription_storage_used		no domain vocabulary	Storage used
NEUTRAL	feature/subscription/viewing	subscription_title		no domain vocabulary	Subscription
NEUTRAL	feature/subscription/viewing	subscription_unlocked_header		no domain vocabulary	Unlocked with Pro
NEUTRAL	feature/subscription/viewing	upsell_body_attachment		no domain vocabulary	Attach photos and files to your maintenance records with SquawkIt Pro.
NEUTRAL	feature/subscription/viewing	upsell_body_email		no domain vocabulary	Email a copy of your exports with SquawkIt Pro.
NEUTRAL	feature/sync/settings	setting_item_sync		no domain vocabulary	Cloud Sync
NEUTRAL	feature/sync/settings	setting_item_sync_on_cellular		no domain vocabulary	Upload on Cellular
NEUTRAL	feature/sync/settings	sync_hero_body_active		no domain vocabulary	Changes you make here sync to the cloud and any other device signed in to the same account.
NEUTRAL	feature/sync/settings	sync_hero_body_paused		no domain vocabulary	Your work stays on this device. Reinstalling the app or moving to a new phone will not bring this data with you.
NEUTRAL	feature/sync/settings	sync_hero_body_signin		no domain vocabulary	You're using the app anonymously. All data stays on this device. Sign in with a permanent account on the previous screen to back things up.
NEUTRAL	feature/sync/settings	sync_hero_title_active		no domain vocabulary	Backed up across your devices
NEUTRAL	feature/sync/settings	sync_hero_title_paused		no domain vocabulary	Sync is paused
NEUTRAL	feature/sync/settings	sync_hero_title_signin		no domain vocabulary	Sign in to enable sync
NEUTRAL	feature/sync/settings	sync_status_anonymous_body		no domain vocabulary	Sync requires signing in.
NEUTRAL	feature/sync/settings	sync_status_anonymous_title		no domain vocabulary	Anonymous account
NEUTRAL	feature/sync/settings	sync_status_auth_expired_body		no domain vocabulary	Authentication expired. Sign in again to resume sync.
NEUTRAL	feature/sync/settings	sync_status_error_title		no domain vocabulary	Sync error
NEUTRAL	feature/sync/settings	sync_status_hydration_error_body		no domain vocabulary	Could not restore %1$s after %2$d retries.
NEUTRAL	feature/sync/settings	sync_status_off_title		no domain vocabulary	Cloud sync is off
NEUTRAL	feature/sync/settings	sync_status_push_error_body		no domain vocabulary	Could not upload the latest local changes. Sync will retry when possible.
NEUTRAL	feature/sync/settings	sync_status_restoring		no domain vocabulary	Restoring %1$d of %2$d collections
NEUTRAL	feature/sync/settings	sync_subtitle_active		no domain vocabulary	Backed up to your account across devices.
NEUTRAL	feature/sync/settings	sync_subtitle_cellular_disabled		no domain vocabulary	Attachments upload over Wi-Fi only.
NEUTRAL	feature/sync/settings	sync_subtitle_cellular_enabled		no domain vocabulary	Attachments upload over Wi-Fi and cellular.
NEUTRAL	feature/sync/settings	sync_subtitle_off		no domain vocabulary	Your data stays on this device only.
NEUTRAL	feature/sync/settings	sync_subtitle_signin		no domain vocabulary	Sign in to enable cloud sync.
NEUTRAL	feature/sync/sharedassets	feature_name_backup_and_sync		no domain vocabulary	Backup &amp; Sync
NEUTRAL	feature/tasks/sharedassets	add_task		no domain vocabulary	Add task
NEUTRAL	feature/tasks/sharedassets	compliance_authority		no domain vocabulary	Compliance authority
NEUTRAL	feature/tasks/sharedassets	compliance_type_ad_short		no domain vocabulary	AD
NEUTRAL	feature/tasks/sharedassets	compliance_type_sb_short		no domain vocabulary	SB
NEUTRAL	feature/tasks/sharedassets	delete_task		no domain vocabulary	Delete Task
NEUTRAL	feature/tasks/sharedassets	delete_task_confirmation		no domain vocabulary	Delete "%1$s"? This cannot be undone. Maintenance logs that reference this task will not be deleted.
NEUTRAL	feature/tasks/sharedassets	due_soon		no domain vocabulary	Due Soon
NEUTRAL	feature/tasks/sharedassets	due_with_count		no domain vocabulary	DUE (%1$d)
NEUTRAL	feature/tasks/sharedassets	edit_task		no domain vocabulary	Update task
NEUTRAL	feature/tasks/sharedassets	engine_format		no domain vocabulary	Engine: %1$s
NEUTRAL	feature/tasks/sharedassets	history_with_count		no domain vocabulary	HISTORY (%1$d)
NEUTRAL	feature/tasks/sharedassets	maintenance_due_title		no domain vocabulary	Maintenance Due
NEUTRAL	feature/tasks/sharedassets	no_complied_yet		no domain vocabulary	Log work against a task to see its history here.
NEUTRAL	feature/tasks/sharedassets	no_task_work_recorded		no domain vocabulary	No task addressed by this log.
NEUTRAL	feature/tasks/sharedassets	overdue		no domain vocabulary	Overdue
NEUTRAL	feature/tasks/sharedassets	skip_task_confirm_action		no domain vocabulary	Skip
NEUTRAL	feature/tasks/sharedassets	skip_task_confirm_body		no domain vocabulary	Marks complete without logging and snoozes one cycle to the next due target. This can’t be undone.
NEUTRAL	feature/tasks/sharedassets	skip_task_confirm_title		no domain vocabulary	Skip This Cycle?
NEUTRAL	feature/tasks/sharedassets	unknown_date		no domain vocabulary	Unknown date
NEUTRAL	feature/tasks/sharedassets	unknown_task		no domain vocabulary	Unknown task (%1$s)
NEUTRAL	feature/tasks/update	adj_preview_hint		no domain vocabulary	What will happen
NEUTRAL	feature/tasks/update	adj_preview_label_neutral		no domain vocabulary	Current
NEUTRAL	feature/tasks/update	adj_preview_neutral_primary		no domain vocabulary	No adjustments
NEUTRAL	feature/tasks/update	adj_preview_neutral_secondary_linked		no domain vocabulary	Linked to another task — schedule is automatic
NEUTRAL	feature/tasks/update	adj_preview_neutral_secondary_unset		no domain vocabulary	No schedule set yet
NEUTRAL	feature/tasks/update	adj_preview_primary_date		no domain vocabulary	Next due %1$s · %2$s
NEUTRAL	feature/tasks/update	adj_preview_rel_due_today		no domain vocabulary	due today
NEUTRAL	feature/tasks/update	adj_preview_rel_hours_at		no domain vocabulary	at current hours
NEUTRAL	feature/tasks/update	adj_preview_rel_in_day		no domain vocabulary	in 1 day
NEUTRAL	feature/tasks/update	adj_preview_rel_in_days		no domain vocabulary	in %1$d days
NEUTRAL	feature/tasks/update	adj_preview_rel_overdue_day		no domain vocabulary	overdue by 1 day
NEUTRAL	feature/tasks/update	adj_preview_rel_overdue_days		no domain vocabulary	overdue by %1$d days
NEUTRAL	feature/tasks/update	adj_preview_reschedule_date_primary		no domain vocabulary	Next due %1$s
NEUTRAL	feature/tasks/update	adj_preview_reschedule_was_date		no domain vocabulary	Was set by schedule
NEUTRAL	feature/tasks/update	adj_preview_was_date		no domain vocabulary	Was %1$s
NEUTRAL	feature/tasks/update	adj_reschedule_disabled_linked		no domain vocabulary	Disabled — this task is linked to another
